Date,Open,High,Low,Close,Volume
10/30/2023 16:00:00,0.48,0.54,0.47,0.5,2753318
10/31/2023 16:00:00,0.49,0.52,0.49,0.5,2331965
11/1/2023 16:00:00,0.51,0.51,0.46,0.48,994292
11/2/2023 16:00:00,0.48,0.52,0.47,0.52,1409429
11/3/2023 16:00:00,0.53,0.59,0.5,0.57,1008467
11/6/2023 16:00:00,0.6,0.6,0.56,0.58,1176921
11/7/2023 16:00:00,0.58,0.61,0.57,0.6,1789121
11/8/2023 16:00:00,0.61,0.61,0.57,0.6,1186794
11/9/2023 16:00:00,0.6,0.61,0.54,0.55,2613825
11/10/2023 16:00:00,0.57,0.6,0.49,0.52,1757459
11/13/2023 16:00:00,0.55,0.69,0.51,0.63,2362894
11/14/2023 16:00:00,0.66,0.68,0.6,0.62,3126177
11/15/2023 16:00:00,0.69,0.83,0.66,0.81,4964709
11/16/2023 16:00:00,0.78,0.83,0.76,0.83,2532281
11/17/2023 16:00:00,0.83,0.84,0.79,0.82,1120484
11/20/2023 16:00:00,0.83,0.86,0.8,0.84,935435
11/21/2023 16:00:00,0.84,0.87,0.75,0.76,1510957
11/22/2023 16:00:00,0.79,0.79,0.7,0.73,872590
11/24/2023 13:05:00,0.78,0.78,0.72,0.77,336209
11/27/2023 16:00:00,0.78,0.79,0.71,0.75,7355156
11/28/2023 16:00:00,0.73,0.77,0.68,0.69,1201840
11/29/2023 16:00:00,0.71,0.75,0.7,0.72,1130761
11/30/2023 16:00:00,0.73,0.8,0.71,0.78,1497241
12/1/2023 16:00:00,0.79,0.88,0.78,0.85,1772798
12/4/2023 16:00:00,0.83,0.97,0.83,0.97,3596851
12/5/2023 16:00:00,0.98,1.04,0.95,1.03,4488683
12/6/2023 16:00:00,1,1.09,0.98,1.01,3201823
12/7/2023 16:00:00,1.03,1.08,0.96,1.08,949675
12/8/2023 16:00:00,1.07,1.11,1.03,1.03,940364
12/11/2023 16:00:00,1.04,1.05,0.99,1.04,1820892
12/12/2023 16:00:00,1.05,1.06,1.01,1.03,1241073
12/13/2023 16:00:00,1.04,1.11,1.01,1.07,3339051
12/14/2023 16:00:00,1.09,1.13,1,1.03,3657950
12/15/2023 16:00:00,1.02,1.09,1.01,1.02,3454069
12/18/2023 16:00:00,1.02,1.02,0.76,0.85,4143538
12/19/2023 16:00:00,0.85,0.93,0.85,0.9,1819404
12/20/2023 16:00:00,0.92,0.92,0.83,0.85,1664818
12/21/2023 16:00:00,0.85,0.91,0.84,0.89,1029455
12/22/2023 16:00:00,0.9,0.91,0.85,0.86,704490
12/26/2023 16:00:00,0.91,0.91,0.86,0.87,1620873
12/27/2023 16:00:00,0.87,0.89,0.8,0.88,1471794
12/28/2023 16:00:00,0.87,0.92,0.86,0.88,504587
12/29/2023 16:00:00,0.88,0.93,0.85,0.91,738933
